id,ticker,underlying,description,exchange_group,exchange,expiry_posix_datetime,min_order_size,tick_size,tradeable_tick_size,currency,tt_symbol_id
211,NGX7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KR00NGZ
212,NGX8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KS00NGZ
213,NGX9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KT00NGZ
214,NGX0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KU00NGZ
215,NGX1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KV00NGZ
216,NGX2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KW00NGZ
217,NGX3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KX00NGZ
218,NGX4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KY00NGZ
219,NGZ5,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LP00NGZ
220,NGZ6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LQ00NGZ
221,NGZ7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LR00NGZ
222,NGZ8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LS00NGZ
223,NGZ9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LT00NGZ
224,NGZ0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LU00NGZ
225,NGZ1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LV00NGZ
226,NGZ2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LW00NGZ
227,NGZ3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LX00NGZ
228,NGZ4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0LY00NGZ
229,NGF5,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,01A0AA00NGZ
